id,en,es,pt,pt_BR,fr,it,ca,de,ar,hi,zh_CN,ru,he,sv,da,
communication,communication,comunicación,comunicação,comunicação,la communication,comunicazione,comunicació,Kommunikation,تواصل,संचार,通讯,связь,תקשורת,kommunikation,meddelelse,
compact,compact,compacto,compacto,compacto,compact,compatto,compacte,kompakt,مُدْمج,सघन,紧凑,компактный,קומפקטי,kompakt,kompakt,
compare,compare,comparar,comparar,comparar,comparer,confronta,comparar,vergleichen,قارن,तुलना,相比,сравнить,להשוות,jämföra,sammenligne,
compatibility,compatibility,compatibilidad,compatibilidade,compatibilidade,compatibilité,compatibilità,compatibilitat,Kompatibilität,توافق,अनुकूलता,兼容性,совместимость,תאימות,kompatibilitet,kompatibilitet,
compatible,compatible,compatible,compatível,compatível,compatible,compatibile,compatible,kompatibel,متوافق,संगत,兼容,совместимый,תואם,kompatibel,kompatibel,
compilation,compilation,compilación,compilação,compilação,compilation,compilazione,compilació,Kompilierung,تصريف,संकलन,汇编,сборник,הידור,kompilering,samling,
compile,compile,compilar,compilar,compilar,compiler,compila,compilar,kompilieren,صرِّف,संकलन,编,компилировать,לקמפל,sammanställa,udarbejde,
compiler,compiler,compilador,compilador,compilador,compilateur,compilatore,compilador,Compiler,مُصرِّف,संकलक,编译器,компилятор,מהדר,kompilator,compiler,
complete,complete,completado,completo,completo,Achevée,completo,completat,vollständig,تام - كامل,पूर्ण,完成,полный,שלם,komplett,komplet,
component,component,componente,componente,componente,composant,componente,component,Komponente,مكون,अंग,零件,составная часть,רכיב,komponent,komponent,
compose,compose,componer,escrever,escrever,composer,comporre,compondre,zusammenstellen,ركِّب,लिखना,撰写,составить,להלחין,komponera,komponere,
composition,composition,composición,composição,composição,composition,composizione,composició,Komposition,تركيب,रचना,组成,состав,הרכב,komposition,sammensætning,
compress,compress,comprimir,comprimir,comprimir,compresse,comprimi,comprimir,komprimieren,اضغط,संकुचित करें,压缩,компресс,לדחוס,komprimera,komprimere,
compression,compression,compresión,compressão,compressão,compression,compressione,compressió,Kompression,ضغط,दबाव,压缩,компрессия,דחיסה,kompression,kompression,
computer,computer,ordenador,computador,computador,ordinateur,computer,ordinador,Computer,حاسوب,कंप्यूटर,电脑,компьютер,המחשב,dator,computer,
computing,computing,informática,,,l'informatique,elaborazione,informàtica,Elektronische Datenverarbeitung,حوسبة,कंप्यूटिंग,计算,вычисления,מחשוב,datoranvändning,computing,
concatenate,concatenate,concatenar,concatenar,concatenar,enchaîner,concatenazione,concatenar,verketten,لمّ,जुटना,串联,сцеплять,לשרשר,sammanfoga,sammenkæde,
concurrent,concurrent,simultáneo,,,parallèle,concorrente,simultani,parallel,مترافق,समवर्ती,同时,параллельный,במקביל,samverkande,samtidige,
condense,condense,condensar,,,condenser,condensare,condensar,komprimieren,كثِّف,गाढ़ा करना,凝结,конденсироваться,לְהִתְעַבּוֹת,kondensera,kondensere,
condition,condition,condición,condição,condição,état,condizione,condició,Bedingung,شرط,शर्त,条件,состояние,התנאי,tillstånd,tilstand,
configuration,configuration,configuración,configuração,configuração,configuration,configurazione,configuració,Konfiguration,تشكيل - تعريف,विन्यास,组态,конфигурация,תצורה,konfiguration,konfiguration,
configure,configure,configurar,configurar,configurar,configurer,configurare,configurar,konfigurieren,اضبط,कॉन्फ़िगर,配置,конфигурировать,תצורה,konfigurera,konfigurere,
confirm,confirm,confirmar,confirmar,confirmar,confirmer,confermare,confirmar,bestätigen,أكد,की पुष्टि करें,确认,подтвердить,לאשר,bekräfta,bekræfte,
confirmation,confirmation,confirmación,confirmação,confirmação,confirmation,conferma,confirmació,Bestätigung,تأكيد,पुष्टीकरण,确认,подтверждение,אישור,Bekräftelse,bekræftelse,
conflict,conflict,conflicto,conflito,conflito,conflit,conflitto,conflicte,Konflikt,تضارب,संघर्ष,冲突,конфликт,סכסוך,konflikt,konflikt,
connect,connect,conectar,conectar,conectar,connecter,connetti,connectar,verbinden,قم بالاتصال,जुडिये,连,соединять,להתחבר,ansluta,Opret forbindelse,
connection,connection,conexión,conexão,conexão,connexion,connessione,connexió,Verbindung,إتصال,संबंध,连接,соединение,חיבור,förbindelse,forbindelse,
console,console,consola,console,console,console,console,consola,Konsole,جهاز,कंसोल,安慰,приставка,קונסולה,trösta,konsol,
contactnoun,contact (noun),contacto,contato (substantivo),contato (substantivo),contact (nom),contatto,contacte,Kontakt (Nomen),جهة اتصال (اسم),contactnoun,contactnoun,contactnoun,contactnoun,contactnoun,contactnoun,
contactverb,contact (verb),contactar,contactar (verbo),contactar (verbo),contacter (verbe),contattare (verbo),contactar,kontaktieren (Verb),قم بالاتصال (فعل),contactverb,contactverb,contactverb,contactverb,contactverb,contactverb,
content,content,contenido,conteúdo,conteúdo,contenu,contenuto,contingut,Inhalt,محتوى,सामग्री,内容,содержание,תוכן,innehåll,indhold,
context,context,contexto,contexto,contexto,contexte,contesto,context,Kontext,سياق,प्रसंग,上下文,контекст,בהקשר,sammanhang,sammenhæng,
continue,continue,continuar,continuar,continuar,continuer,continua,continuar,fortsetzen,تابع,जारी रहना,继续,Продолжить,להמשיך,Fortsätta,Blive ved,
contrast,contrast,contrastar,contraste,contraste,contraste,contrasto,contrastar,Kontrast,تباين,विरोध,对比,контрастировать,בניגוד,kontrast,kontrast,
contributor,contributor,colaborador,colaborador,colaborador,donateur,collaboratore,col·laborador,Mitwirkender,مساهِم - مشارك,योगदान देने वाला,贡献者,участник,תורם,bidragsgivare,bidragsyder,
control,control,control,controle,controle,contrôler,controllo,control,kontrollieren,تحكم,नियंत्रण,控制,контроль,מלא,kontrollera,kontrollere,
conversion,conversion,conversión,conversão,conversão,conversion,conversione,conversió,Umwandlung,تحويل,रूपांतरण,转变,преобразование,המרה,omvandling,konvertering,
convert,convert,convertir,converter,converter,convertir,converti,convertir,umwandeln,حول,बदलना,兑换,перерабатывать,להמיר,konvertera,konvertere,
cookie,cookie,cookie,cookie,cookie,cookie,cookie,galeta,Cookie,ملفات تعريف الارتباط,कुकी,曲奇饼,печенье,עוגייה,kaka,cookie,
cooperative,cooperative,cooperativo,,,coopératif,cooperativo,cooperatiu,kooperativ,تعاوني,सहयोगी,合作社,кооператив,שיתופי,kooperativ,samarbejdsvillig,
coordinate,coordinate,coordinar,coordenada,coordenada,coordonner,coordinata,coordinar,koordinieren,نسق,समन्वय,坐标,координировать,לתאם,samordna,koordinere,
copynoun,copy,copia,cópia,cópia (substantivo),copie (nom),copia,còpia,Kopie,نسخة (اسم),copynoun,copynoun,copynoun,copynoun,copynoun,copynoun,
copyverb,copy,copiar,copiar,copiar (verbo),copier (verbe),copiare,copiar,kopieren,انسخ (فعل),copyverb,copyverb,copyverb,copyverb,copyverb,copyverb,
copyPaste,copy and paste,copiar y pegar,copiar e colar,,copier coller,,copiar i enganxar,Kopieren und Einfügen,,कॉपी पेस्ट,复制粘贴,копировать вставить,העתק הדבק,kopiera klistra in,kopier indsæt,
copyleft,copy left,"derecho de copia, copyleft",,,copyleft,copyleft,"dret de còpia, copyleft",Recht zur Weitergabe,نسخ إلى اليسار,copyleft,copyleft的,копилефт,copyleft,copyleft,copyleft,
copyright,copy right,"derecho de autor, copyright",,,droits d'auteur,diritto d'autore,"dret d'autor, copyright",Urheberrecht,نسخ إلى اليمين,कॉपीराइट,版权,авторское право,זכויות יוצרים,upphovsrätt,ophavsret,
correct,correct,corregir,corrigir,corrigir,correct,corretto,corregir,korrigieren,صحح,सही बात,正确,правильный,נכון,korrekt,korrekt,
correspondence,correspondence,correspondencia,correspondência,correspondência,correspondance,carteggio,correspondència,Schriftverkehr,تواؤم,पत्र - व्यवहार,对应,переписка,התכתבות,korrespondens,korrespondance,
correspondent,correspondent,correspondiente,,,correspondant,inviato,corresponent,Gegenstelle,موائم,संवाददाता,通信者,корреспондент,כתבתי,korrespondent,korrespondent,
corrupt,corrupt,corrupto,,,corrompu,corrotto,corrupte,beschädigt,فاسد,भ्रष्ट,腐败,продажный,מושחת,korrupt,korrupt,
count,count,contar,contar,contar,compter,conto,comptar,zählen,عدد,गिनती,计数,подсчитывать,לספור,räkna,tælle,
countable,countable,contable,,,dénombrable,numerabile,comptable,abzählbar,قابل للعدد,गणनीय,可数,счетное,סָפִיר,kvantifierbart,tælleligt,
crash,crash,caída del sistema,pane,pane,crash,crash,caiguda del sistema,Absturz,إنهيار,दुर्घटना,紧急,авария,התרסקות,krascha,krak,
create,create,crear,criar,criar,créer,crea,crear,erstellen,أنشئ,सर्जन करना,创建,Создайте,ליצור,skapa,skab,
creation,creation,creación,criação,criação,création,creazione,creació,Erstellung,إنشاء,सृष्टि,创建,создание,יצירה,skapande,skabelse,
criteria,criteria,criterio,critérios,critérios,critères,criteri,criteri,Kriterium,معيار,मानदंड,标准,критерии,קריטריונים,kriterier,kriterier,
crop,crop,recortar,cortar,cortar,surgir,raccolto,retallar,freistellen,يُشذِّب,फ़सल,作物,культура,יבול,beskära,afgrøde,
crossplatform,cross-platform,multiplataforma,,,multiplate,multi-piattaforma,multiplataforma,plattformübergreifend,متعدد المنصات,पार मंच,跨平台,кроссплатформенная,crossplatform,plattformsoberoende,crossPlatform,
crypt,crypt,encriptar,,,crypte,cripta,xifrar,verschlüsseln,شفِّر,तहखाने,隐窝,крипта,הקריפטה,krypta,krypt,
cryptology,cryptology,criptología,,,cryptologie,crittografia,criptologia,Kryptologie,علم التشفير,क्रिप्टोलौजी,隐语,криптология,קריפטולוגיה,kryptologi,kryptologi,
current,current,actual,atual,atual,actuel,attuale,actual,aktuell,حالي,वर्तमान,当前,ток,נוכחי,nuvarande,nuværende,
cursor,cursor,cursor,cursor,cursor,le curseur,cursore,cursor,Mauszeiger,مؤشر,कर्सर,光标,курсор,סמן,markören,cursoren,
curve,curve,curva,curva,curva,courbe,curva,corba,Kurve,منحنى,वक्र,曲线,кривая,עקום,kurva,kurve,
custom,custom,a medida,personalizado,personalizado,Douane,personalizzato,a mida,angepasst,مخصص,रिवाज,习惯,обычай,המותאם אישית,beställnings-,brugerdefinerede,
customization,customization,customización,customização,customização,personnalisation,personalizzazione,customització,Anpassung,تخصيص,अनुकूलन,定制,настройка,התאמה אישית,anpassning,tilpasning,
customize,customize,personalizar,personalizar,personalizar,Personnaliser,personalizzare,personalitzar,anpassen,خصص,अनुकूलित करें,定制,настроить,אישית,skräddarsy,tilpasse,
cut,cut,cortar,recortar,recortar,couper,taglia,tallar,ausschneiden,قص,कट गया,切,резать,גזירה,skära,skære,
cycle,cycle,ciclo,ciclo,ciclo,cycle,ciclo,cicle,Zyklus,دورة,चक्र,周期,цикл,מחזור,cykel,cyklus,
daemon,daemon,demonio,daemon,daemon,démon,demone,dimoni,Hintergrund-Dienst,عفريت,डेमॉन,守护进程,демон,daemon,demon,dæmon,
damage,damage,daño,,,dommage,danno,dany,Schaden,ضرر,क्षति,损伤,повреждение,נזק,skada,skade,
data,data,datos,dados,dados,Les données,dati,dades,Daten,بيانات,डेटा,数据,данные,נתונים,data,data,
dataUpload,data upload,carga de datos,Carregue dados,,dataUpload,,càrrega de dades,Daten hochladen,,dataUpload,dataUpload,dataUpload,dataUpload,dataUpload,dataUpload,
database,database,base de datos,base de dados,base de dados,base de données,database,base de dades,Datenbank,قاعدة بيانات,डेटाबेस,数据库,база данных,מאגר מידע,databas,database,
debug,debug,quitar el error,depurar,depurar,déboguer,debug,treure l'error,Fehler beseitigen,أزل الخلل,डिबग,调试,отлаживать,באגים,debug,fejlfinde,
debugger,debugger,que quita el error,depurador,depurador,débogueur,debugger,que treu l'error,Debugger,منقح,डिबगर,调试器,отладчик,הבאגים,debugger,debugger,
decimal,decimal,decimal,decimal,decimal,décimal,decimale,decimal,dezimal,عشري,दशमलव,十进制,десятичный,עשרוני,decimal-,decimal,
decode,decode,descifrar,,,décoder,decodifica,desxifrar,dekodieren,فك الترميز,व्याख्या करना,解码,раскодировать,לְפַעֲנֵחַ,avkoda,afkode,
decompress,decompress,descomprimir,descomprimir,descomprimir,décompresser,decompresso,descomprimir,dekomprimieren,فك الضغط,दबाव हटाना,解压缩,разжимать,לְשַׁחְרֵר לָחָץ,dekomprimera,dekomprimere,
decrease,decrease,disminuir,diminuir,diminuir,diminution,diminuzione,disminuir,reduzieren,قلل,कमी,减少,снижение,להקטין,minska,formindske,
decrypt,decrypt,descifrar,descriptografar,descriptografar,déchiffrer,decodificare,desxifrar,entschlüsseln,فك التشفير,डिक्रिप्ट,解码,расшифровывать,פענוח,Avkryptera,dekryptere,
decryption,decryption,desciframiento,descriptografia,descriptografia,déchiffrement,decifrazione,desxiframent,Entschlüsselung,فك تشفير,डिक्रिप्शन,解密,дешифрование,פענוח,dekryptering,dekryptering,
default,default,predeterminado,padrão,padrão,par défaut,predefinito,predeterminat,Standardeinstellung,افتراضي,चूक,默认,дефолт,ברירת מחדל,standard,Standard,
defect,defect,defecto,,,défaut,sconfiggi,defecte,Defekt,عيب,दोष,缺陷,дефект,פגם,defekt,defekt,
define,define,definir,,,définir,definisci,definir,definieren,عرف - حدد,परिभाषित,限定,определять,מגדיר,definiera,Definere,
definition,definition,definición,definição,definição,définition,definizione,definició,Definition,تعريف,परिभाषा,定义,определение,הגדרה,definition,definition,
degree,degree,nivel,grau,grau,degré,grado,nivell,Grad,درجة,हद,学位,степень,תואר,grad,grad,
delay,delay,retrasar,atraso,atraso,retard,ritardo,retardar,Verzögerung,تأخير,विलंब,延迟,задержка,עיכוב,fördröjning,forsinke,
delete,delete,borrar,excluir,excluir,supprimer,elimina,esborrar,löschen,احذف,हटाना,删除,удалять,למחוק,radera,slette,
deletion,deletion,supresión,exclusão,exclusão,suppression,eliminazione,supressió,Löschung,حذف,विलोपन,缺失,удаление,מחיקה,radering,sletning,
delimiter,delimiter,delimitador,delimitador,delimitador,séparateur,separatore,delimitador,Trennzeichen,مُحِد,सीमांकक,分隔符,ограничитель,מפריד,avgränsare,afgrænser,
demo,demo,demo,demonstração,demonstração,démo,dimostrazione,demo,Demo,عرض,डेमो,演示,демонстрация,הדגים,demo,demo,
deny,deny,negar,,,refuser,nega,negar,verweigern,رفض - إنكار,मना,拒绝,Отрицать,להכחיש,förneka,nægte,
dependence,dependence,dependencia,dependência,dependência,dépendance,dipendenza,dependència,Abhängigkeit,تبعية,निर्भरता,依赖,зависимость,תלות,beroende,afhængighed,
dependency,dependency,dependencia,dependência,dependência,dépendance,dipendenza,dependència,Abhängigkeit,إعتمادية,निर्भरता,依赖,зависимость,תלות,beroendet,afhængighed,
depth,depth,profundidad,profundidade,profundidade,profondeur,profondità,profunditat,Tiefe,عمق,गहराई,深度,глубина,עומק,djup,dybde,
derived,derived,obtenido,derivado,derivado,dérivé,derivato,obtingut,abgeleitet,مشتق,निकाली गई,派生,полученный,נגזר,härledd,afledt,
descending,descending,descendente,decrescente,decrescente,descendant,discendente,descendent,absteigend,تنازلي,उतरते,降,нисходящий,יורד,nedåtgående,aftagende,
description,description,descripción,descrição,descrição,la description,descrizione,descripció,Beschreibung,وصف,विवरण,描述,описание,תיאור,beskrivning,beskrivelse,
deselect,deselect,deseleccionar,,,désélectionner,deselezionare,deseleccionar,abwählen,أزل الانتقاء,चयन रद्द करें,取消,отменить,לבטל את הבחירה,välja bort,fravælge,
design,design,diseño,design,design,conception,progettazione,disseny,Design,تصميم,डिज़ाइन,设计,дизайн,עיצוב,design,design,
desktop,desktop,escritorio,área de trabalho,área de trabalho,bureau,desktop,escriptori,Desktop,سطح المكتب,डेस्कटॉप,桌面,рабочий стол,שולחן העבודה,skrivbordet,desktop,
destination,destination,destino,destinação,destinação,destination,destinazione,destí,Ziel,هدف,गंतव्य,目的地,место назначения,יעד,destination,bestemmelsessted,
destroy,destroy,destruir,destrói,destrói,détruire,distruggere,destruir,zerstören,دمِّر,नष्ट,破坏,уничтожить,להרוס,förstöra,ødelægge,
detach,detach,despegar,desanexar,desanexar,détacher,staccare,enlairar,lösen,إنزع,अलग करना,分离,отрывать,לנתק,lösgöra,løsrive,
detect,detect,detectar,detectar,detectar,détecter,rileva,detectar,erkennen,اكشف,पता लगाना,检测,обнаружить,לזהות,"upptäcka, detektera",opdage,
develop,develop,desarrollar,desenvolver,desenvolver,développer,sviluppare,desenvolupar,entwickeln,طوِّر,विकसित करना,开发,развивать,לפתח,utveckla,udvikle,
developer,developer,desarrollador,desenvolvedor,desenvolvedor,développeur,sviluppatore,desenvolupador,Entwickler,مطور,डेवलपर,开发人员,разработчик,מפתח,utvecklare,Udvikler,
development,development,desarrollo,desenvolvimento,desenvolvimento,développement,sviluppo,desenvolupament,Entwicklung,تطوير,विकास,发展,развитие,התפתחות,utveckling,udvikling,
device,device,dispositivo,dispositivo,dispositivo,périphérique,dispositivo,dispositiu,Gerät,جهاز,युक्ति,设备,устройство,התקן,anordning,apparat,
diagram,diagram,diagrama,diagrama,diagrama,diagramme,diagramma,diagrama,Diagramm,رسم بياني,आरेख,图,диаграмма,תרשים,diagram,diagram,
dial,dial,marcar,discar,discar,cadran,sintonizzare,marcar,wählen,قم بطلب رقم,डायल,拨号,набирать номер,לחייג,ringa,urskive,
dialog,dialog,diálogo,diálogo,diálogo,dialogue,dialogo,diàleg,Dialog,حوار,संवाद,对话,диалог,שיח,dialog,dialogen,
dialup,dialup,marcar,,,dialup,dialup,marcar,Wählleitung,هاتفي,डायल करें,拨号,набрать номер,לחייג,Ringa upp,ringe op,
difference,difference,diferencia,diferença,diferença,différence,differenza,diferència,Unterschied,اختلاف,अंतर,区别,разница,ההבדל,skillnad,forskel,
digit,digit,dígito,dígito,dígito,chiffre,cifra,dígit,Ziffer,رقم,अंक,数字,цифра,ספרות,siffra,ciffer,
digital,digital,digital,digital,digital,numérique,digitale,digital,digital,رقمي,डिजिटल,数字,цифровой,דיגיטלי,digital,digital,
dimension,dimension,dimensión,dimensão,dimensão,dimension,dimensione,dimensió,Dimension,بعد,आयाम,尺寸,измерение,מימד,dimensionera,dimension,
directory,directory,directorio,diretório,diretório,répertoire,cartella,directori,Verzeichnis,دليل,निर्देशिका,目录,каталог,המדריך,katalog,vejviser,
disable,disable,desactivar,desabilitado,desabilitado,désactiver,disabilitare,desactivar,deaktivieren,عطِّل,अक्षम करें,禁用,запрещать,להשבית,inaktivera,deaktivere,
disc,disc,disco,disco,disco,disque,disco,disc,Datenträger,قرص,डिस्क,圆盘,диск,דיסק,skiva,disk,
discard,discard,descartar,descartar,descartar,Jeter,ignorare,descartar,verwerfen,قم بالغاء,छोड़ना,丢弃,отбрасывать,להשליך,kassera,kassere,
disconnect,disconnect,desconectar,desconectar,desconectar,couper,disconnetti,desconnectar,trennen,قطع الاتصال,डिस्कनेक्ट,断开,Отключить,נתק,koppla från,koble fra,
discussion,discussion,debate,discussão,discussão,discussion,discussione,debat,Diskussion,حوار - نقاش,विचार-विमर्श,讨论,обсуждение,דיון,diskussion,diskussion,
disk,disk,disco,disco,disco,disque,disco,disc,Datenträger,قرص,डिस्क,磁盘,диск,דיסק,disk,disk,
dispatch,dispatch,enviar,expedir,expedir,envoi,inviare,enviar,erledigen,ارسل,प्रेषण,调度,отправка,שיגור,avsändande,forsendelse,
display,display,pantalla,exibir,exibir,afficher,display,pantalla,anzeigen,عرض,प्रदर्शन,显示,дисплей,תצוגה,visa,Skærm,
distort,distort,distorsionar,,,fausser,deformare,distorsionar,verfälschen,شوِّه,बिगाड़ना,歪曲,искажать,לעוות,förvränga,fordreje,
distribute,distribute,distribuir,distribuir,distribuir,distribuer,distribuire,distribuir,verbreiten,وزّع,वितरित करना,分发,распространять,להפיץ,distribuera,distribuere,
distribution,distribution,distribución,distribuição,distribuição,Distribution,distribuzione,distribució,Distribution,توزيع,वितरण,分配,распределение,הפצה,distribution,fordeling,
distributor,distributor,distribuidor,distribuidor,distribuidor,distributeur,distributore,distribuïdor,Lieferant,موزع,वितरक,经销商,дистрибьютор,מפיץ,distributör,distributør,
dock,dock,acoplar,encaixar,encaixar,Dock,bacino,acoblar,andocken,شريط الرموز,गोदी,码头,док,מזח,docka,dok,
document,document,documento,documento,documento,document,documento,document,Dokument,مستند,दस्तावेज़,文献,документ,מסמך,dokumentera,dokument,
documentation,documentation,documentación,documentação,documentação,Documentation,documentazione,documentació,Dokumentation,توثيق,प्रलेखन,文件,документация,תיעוד,dokumentation,dokumentation,
domain,domain,dominio,domínio,domínio,domaine,dominio,domini,Domain,نطاق,डोमेन,域,домен,תחום,domän,domæne,
doubleclick,double click,doble clic,duplo clique,duplo clique,doubleclick,doppio clic,doble clic,Doppelklick,نقر مزدوج,डबल क्लिक करें,双击,двойной щелчок,לחץ לחיצה כפולה,dubbelklicka,Dobbeltklik,
download,download,descargar,baixar,baixar,Télécharger,scaricamento,descarregar,herunterladen,تنزيل,डाउनलोड,下载,скачать,הורד,ladda ner,Hent,
drag,drag,arrastrar,arrastar,arrastar,traîne,trascinare,arrossegar,ziehen,اسحب,खींचें,拖动,"тащить, тянуть",גרור,drag,drag,
draw,draw,dibujar,desenhar,desenhar,dessiner,disegno,dibuixar,zeichnen,ارسم,खींचना,画,рисовать,לצייר,dra,tegne,
driver,driver,driver,driver,driver,chauffeur,driver,driver,Treiber,محرك أقراص,चालक,司机,Водитель,נהג,förare,chauffør,
dual,dual,dual,,,double,doppia,dual,dual,مزدوج,दोहरी,双,двойной,כפול,dubbel,dobbelt,
dump,dump,verter,despejo,despejo,déverser,svuotare,abocar,Auszug,تخلى,ढेर,倾倒,свалка,מזבלה,dumpa,dump,
duplicate,duplicate,duplicar,duplicar,duplicar,dupliquer,duplicato,duplicar,duplizieren,انسخ,प्रतिलिपि,重复,дублировать,לשכפל,duplicera,duplikere,
dynamic,dynamic,dinámico,dinâmico,dinâmico,dynamique,dinamico,dinàmic,dynamisch,ديناميكي,गतिशील,动态,динамический,דינמי,dynamisk,dynamisk,
echo,echo,eco,,,écho,eco,ressò,Echo,صدى,गूंज,回声,эхо,הד,eko,ekko,
edit,edit,editar,editar,editar,modifier,modifica,editar,bearbeiten,حرر,संपादित करें,编辑,редактировать,עריכה,redigera,redigere,
edition,edition,edición,edição,edição,édition,edizione,edició,Auflage,طبعة,संस्करण,版,издание,מהדורה,utgåva,udgave,
editor,editor,editor,editor,editor,éditeur,curatore,editor,Editor,محرر,संपादक,编辑,редактор,עורך,redaktör,redaktør,
effect,effect,efecto,efeito,efeito,effet,effetto,efecte,Effekt,مؤثر,प्रभाव,影响,эффект,השפעה,effekt,effekt,
eject,eject,expulsar,ejetar,ejetar,éjecter,espelli,expulsar,auswerfen,أخرج,निकालना,喷射,выталкивать,להוציא,stöta ut,udstøde,
electronic,electronic,electrónico,eletrônico,eletrônico,électronique,elettronico,electrònic,elektronisch,الكتروني,इलेक्ट्रोनिक,电子,электронный,אלקטרוני,elektronisk,elektronisk,
element,element,elemento,elemento,elemento,élément,elemento,element,Element,عنصر,तत्त्व,元件,элемент,אלמנט,element,element,
email,email,correo electrónico,E-mail,E-mail,courrier électronique,posta elettronica,correu electrònic,E-Mail,بريد إلكتروني,ईमेल,电子邮件,Эл. адрес,"הדוא""ל",e-post,e-mail,
embed,embed,incrustrar,embutir,embutir,incorporer,incorpora,incrustrar,einbetten,ضمِّن,एम्बेड,嵌,встраивать,שבץ,bädda in,indlejre,
emoticon,emoticon,emoticono,emoticon,emoticon,émoticône,emoticon,emoticona,Smiley,وجه تعبيري,इमोटिकॉन,表情,смайлик,סמיילי,uttryckssymbol,humørikon,
empty,empty,vacío,vazio,vazio,vide,vuoto,buit,leer,أفرغ,खाली,空,пустой,ריק,tömma,tom,
emulate,emulate,emular,emular,emular,émuler,emulare,emular,emulieren,قم بمحاكاة,अनुकरण करना,仿真,подражать,לחקות,tävla med,efterligne,
emulation,emulation,emulación,emulação,emulação,émulation,emulazione,emulació,Emulation,محاكاة,अनुकरण,仿真,эмуляция,אמולציה,tävlan,emulering,
emulator,emulator,emulador,emulador,emulador,émulateur,emulatore,emulador,Emulator,محاكي,एमुलेटर,模拟器,эмулятор,אמולטור,emulator,emulator,
enable,enable,habilitar,habilitar,habilitar,activer,abilita,habilitar,aktivieren,فعِّل - مكِّن,सक्षम,启用,включить,לאפשר,Gör det möjligt,gøre det muligt for,
enabled,enabled,habilitado,habilitado,habilitado,activé,abilitato,habilitat,aktiviert,ممكن - تم تمكينه,सक्षम,启用,включен,מופעל,aktiverad,aktiveret,
encode,encode,codificar,codificar,codificar,encoder,codifica,codificar,codieren,رمِّز,सांकेतिक शब्दों में बदलना,编码,шифровать,לקודד,koda,encode,
encoding,encoding,codificación,codificação,codificação,encodage,codifica,codificació,Kodierung,ترميز,एन्कोडिंग,编码,кодирование,קידוד,kodning,koder,
encrypt,encrypt,cifrar,criptografar,criptografar,chiffrer,crittografa,xifrar,verschlüsseln,قم بتعمية,एन्क्रिप्ट,加密,шифровать,הצף,kryptera,kryptere,
encrypted,encrypted,cifrado,criptografado,criptografado,chiffré,cifrato,xifrat,verschlüsselt,مشفّر,को गोपित,加密,зашифрованная,מוצפן,krypterad,krypteret,
encryption,encryption,cifrado,criptografia,criptografia,chiffrement,cifratura,xifrat,Verschlüsselung,تشفير,एन्क्रिप्शन,加密,шифрование,הצף,kryptering,kryptering,
engine,engine,motor,mecanismo,mecanismo,moteur,motore,motor,engine,محرك,इंजन,发动机,двигатель,מנוע,motor,motor,
enhancement,enhancement,mejora,,,amélioration,miglioria,millora,Verbesserung,تحسين,वृद्धि,增强,усиление,שיפור,förbättring,enhancement,
enlarge,enlarge,ampliar,,,agrandir,espandere,ampliar,vergrößern,كبِّر,विस्तार करना,放大,увеличить,להגדלה,förstora,forstørre,
enlargement,enlargement,ampliación,,,agrandissement,ampliamento,ampliació,Vergrößerung,تكبير - تضخيم,इज़ाफ़ा,放大,укрупнение,הגדל,utvidgning,udvidelse,
enter,enter,entrar,inserir,inserir,saisir,invio,entrar,eingeben,أدخل,दर्ज,输入,войти,להיכנס,stiga på,gå ind,
entertainment,entertainment,entretenimiento,entretenimento,entretenimento,divertissement,spettacolo,entreteniment,Unterhaltung,ترفيه,मनोरंजन,娱乐,развлекательная программа,בידור,underhållning,underholdning,
entry,entry,entrada,entrada,entrada,saisie,voce,entrada,Eintrag,مدخلة,प्रवेश,条目,запись,כניסה,inträde,indgang,
environment,environment,entorno,ambiente,ambiente,environnement,condizioni,entorn,Umgebung,بيئة,वातावरण,环境,среда,סביבה,miljö,miljø,
equalizer,equalizer,ecualizador,,,but égalisateur,equalizzatore,equalitzador,Equalizer,معادل,तुल्यकारक,均衡器,эквалайзер,אקולייזר,utjämnare,equalizer,
erase,erase,borrar,apagar,apagar,effacer,cancella,esborrar,entfernen,إمسح,मिटाना,抹去,стирать,למחוק,radera,slette,
error,error,error,erro,erro,Erreur,errore,error,Fehler,خطأ,त्रुटि,错误,ошибка,שגיאה,fel,fejl,
escape,escape,escape,,,échapper,fuga,escapament,Escape,هروب,पलायन,逃逸,побег,בריחה,fly,flugt,
evaluation,evaluation,evaluación,avaliação,avaliação,évaluation,valutazione,avaluació,Auswertung,تقييم,मूल्यांकन,评测,оценка,הערכה,utvärdering,evaluering,
event,event,evento,evento,evento,un événement,fatto,esdeveniment,Ereignis,حدث,घटना,事件,событие,אירוע,händelse,begivenhed,
exception,exception,excepción,excessão,excessão,exception,eccezione,excepció,Ausnahme,استثناء,अपवाद,例外,исключение,יוצא מן הכלל,undantag,undtagelse,
executable,executable,ejecutable,executável,executável,exécutable,eseguibile,executable,ausführbar,تنفيذي,निष्पादन,可执行,исполнимый,הפעלה,exekverbar,eksekverbar,
execute,execute,ejecutar,executar,executar,exécuter,esegui,executar,ausführen,نفِّذ,निष्पादित,执行,выполнять,לבצע,Kör,udføre,
existing,existing,que existe,existente,existente,existant,esistente,que existeix,vorhanden,موجود,मौजूदा,现有,существующий,קיים,existerande,eksisterende,
