id,en,es,pt,de,fr,it,ar,hi,pt_BR,zh_CN,ru
detect,detect,detectar,detectar,erkennen,détecter,rileva,اكشف,,detectar,,обнаружить
develop,develop,desarrollar,desenvolver,entwickeln,développer,sviluppare,طوِّر,,desenvolver,,развивать
developer,developer,desarrollador,desenvolvedor,Entwickler,développeur,sviluppatore,مطور,,desenvolvedor,,разработчик
development,development,desarrollo,desenvolvimento,Entwicklung,développement,sviluppo,تطوير,,desenvolvimento,,развитие
device,device,dispositivo,dispositivo,Gerät,périphérique,dispositivo,جهاز,,dispositivo,,устройство
diagram,diagram,diagrama,diagrama,Diagramm,diagramme,diagramma,رسم بياني,,diagrama,,диаграмма
dial,dial,marcar,discar,wählen,cadran,sintonizzare,قم بطلب رقم,,discar,,набирать номер
dialog,dialog,diálogo,diálogo,Dialog,dialogue,dialogo,حوار,,diálogo,,диалог
dialup,dialup,marcar,,Wählleitung,dialup,dialup,هاتفي,,,,набрать номер
difference,difference,diferencia,diferença,Unterschied,différence,differenza,اختلاف,,diferença,,разница
digit,digit,dígito,dígito,Ziffer,chiffre,cifra,رقم,,dígito,,цифра
digital,digital,digital,digital,digital,numérique,digitale,رقمي,,digital,,цифровой
dimension,dimension,dimensión,dimensão,Dimension,dimension,dimensione,بعد,,dimensão,,измерение
directory,directory,directorio,diretório,Verzeichnis,répertoire,cartella,دليل,,diretório,,каталог
disable,disable,desactivar,desabilitado,deaktivieren,désactiver,disabilitare,عطِّل,,desabilitado,,запрещать
disc,disc,disco,disco,Datenträger,disque,disco,قرص,,disco,,диск
discard,discard,descartar,descartar,verwerfen,Jeter,ignorare,قم بالغاء,,descartar,,отбрасывать
disconnect,disconnect,desconectar,desconectar,trennen,couper,disconnetti,قطع الاتصال,,desconectar,,Отключить
discussion,discussion,debate,discussão,Diskussion,discussion,discussione,حوار - نقاش,,discussão,,обсуждение
disk,disk,disco,disco,Datenträger,disque,disco,قرص,,disco,,диск
dispatch,dispatch,enviar,expedir,erledigen,envoi,inviare,ارسل,,expedir,,отправка
display,display,pantalla,exibir,anzeigen,afficher,display,عرض,,exibir,,дисплей
distort,distort,distorsionar,,verfälschen,fausser,deformare,شوِّه,,,,искажать
distribute,distribute,distribuir,distribuir,verbreiten,distribuer,distribuire,وزّع,,distribuir,,распространять
distribution,distribution,distribución,distribuição,Distribution,Distribution,distribuzione,توزيع,,distribuição,,распределение
distributor,distributor,distribuidor,distribuidor,Lieferant,distributeur,distributore,موزع,,distribuidor,,дистрибьютор
dock,dock,acoplar,encaixar,andocken,Dock,bacino,شريط الرموز,,encaixar,,док
document,document,documento,documento,Dokument,document,documento,مستند,,documento,,документ
documentation,documentation,documentación,documentação,Dokumentation,Documentation,documentazione,توثيق,,documentação,,документация
domain,domain,dominio,domínio,Domain,domaine,dominio,نطاق,,domínio,,домен
doubleclick,double click,doble clic,duplo clique,Doppelklick,doubleclick,doppio clic,نقر مزدوج,,duplo clique,,двойной щелчок
download,download,descargar,baixar,herunterladen,Télécharger,scaricamento,تنزيل,,baixar,,скачать
drag,drag,arrastrar,arrastar,ziehen,traîne,trascinare,اسحب,,arrastar,,"тащить, тянуть"
draw,draw,dibujar,desenhar,zeichnen,dessiner,disegno,ارسم,,desenhar,,рисовать
driver,driver,driver,driver,Treiber,chauffeur,driver,محرك أقراص,,driver,,Водитель
dual,dual,dual,,dual,double,doppia,مزدوج,,,,двойной
dump,dump,verter,despejo,Auszug,déverser,svuotare,تخلى,,despejo,,свалка
duplicate,duplicate,duplicar,duplicar,duplizieren,dupliquer,duplicato,انسخ,,duplicar,,дублировать
dynamic,dynamic,dinámico,dinâmico,dynamisch,dynamique,dinamico,ديناميكي,,dinâmico,,динамический
echo,echo,eco,,Echo,écho,eco,صدى,,,,эхо
edit,edit,editar,editar,bearbeiten,modifier,modifica,حرر,,editar,,редактировать
edition,edition,edición,edição,Auflage,édition,edizione,طبعة,,edição,,издание
editor,editor,editor,editor,Editor,éditeur,curatore,محرر,,editor,,редактор
effect,effect,efecto,efeito,Effekt,effet,effetto,مؤثر,,efeito,,эффект
eject,eject,expulsar,ejetar,auswerfen,éjecter,espelli,أخرج,,ejetar,,выталкивать
electronic,electronic,electrónico,eletrônico,elektronisch,électronique,elettronico,الكتروني,,eletrônico,,электронный
element,element,elemento,elemento,Element,élément,elemento,عنصر,,elemento,,элемент
email,email,correo electrónico,E-mail,E-Mail,courrier électronique,posta elettronica,بريد إلكتروني,,E-mail,,Эл. адрес
embed,embed,incrustrar,embutir,einbetten,incorporer,incorpora,ضمِّن,,embutir,,встраивать
emoticon,emoticon,emoticono,emoticon,Smiley,émoticône,emoticon,وجه تعبيري,,emoticon,,смайлик
empty,empty,vacío,vazio,leer,vide,vuoto,أفرغ,,vazio,,пустой
emulate,emulate,emular,emular,emulieren,émuler,emulare,قم بمحاكاة,,emular,,подражать
emulation,emulation,emulación,emulação,Emulation,émulation,emulazione,محاكاة,,emulação,,эмуляция
emulator,emulator,emulador,emulador,Emulator,émulateur,emulatore,محاكي,,emulador,,эмулятор
enable,enable,habilitar,habilitar,aktivieren,activer,abilita,فعِّل - مكِّن,,habilitar,,включить
enabled,enabled,habilitado,habilitado,aktiviert,activé,abilitato,ممكن - تم تمكينه,,habilitado,,включен
encode,encode,codificar,codificar,codieren,encoder,codifica,رمِّز,,codificar,,шифровать
encoding,encoding,codificación,codificação,Kodierung,encodage,codifica,ترميز,,codificação,,кодирование
encrypt,encrypt,cifrar,criptografar,verschlüsseln,chiffrer,crittografa,قم بتعمية,,criptografar,,шифровать
encrypted,encrypted,cifrado,criptografado,verschlüsselt,chiffré,cifrato,مشفّر,,criptografado,,зашифрованная
encryption,encryption,cifrado,criptografia,Verschlüsselung,chiffrement,cifratura,تشفير,,criptografia,,шифрование
engine,engine,motor,mecanismo,engine,moteur,motore,محرك,,mecanismo,,двигатель
enhancement,enhancement,mejora,,Verbesserung,amélioration,miglioria,تحسين,,,,усиление
enlarge,enlarge,ampliar,,vergrößern,agrandir,espandere,كبِّر,,,,увеличить
enlargement,enlargement,ampliación,,Vergrößerung,agrandissement,ampliamento,تكبير - تضخيم,,,,укрупнение
enter,enter,entrar,inserir,eingeben,saisir,invio,أدخل,,inserir,,войти
entertainment,entertainment,entretenimiento,entretenimento,Unterhaltung,divertissement,spettacolo,ترفيه,,entretenimento,,развлекательная программа
entry,entry,entrada,entrada,Eintrag,saisie,voce,مدخلة,,entrada,,запись
environment,environment,entorno,ambiente,Umgebung,environnement,condizioni,بيئة,,ambiente,,среда
equalizer,equalizer,ecualizador,,Equalizer,but égalisateur,equalizzatore,معادل,,,,эквалайзер
erase,erase,borrar,apagar,entfernen,effacer,cancella,إمسح,,apagar,,стирать
error,error,error,erro,Fehler,Erreur,errore,خطأ,,erro,,ошибка
escape,escape,escape,,Escape,échapper,fuga,هروب,,,,побег
evaluation,evaluation,evaluación,avaliação,Auswertung,évaluation,valutazione,تقييم,,avaliação,,оценка
event,event,evento,evento,Ereignis,un événement,fatto,حدث,,evento,,событие
exception,exception,excepción,excessão,Ausnahme,exception,eccezione,استثناء,,excessão,,исключение
executable,executable,ejecutable,executável,ausführbar,exécutable,eseguibile,تنفيذي,,executável,,исполнимый
execute,execute,ejecutar,executar,ausführen,exécuter,esegui,نفِّذ,,executar,,выполнять
existing,existing,que existe,existente,vorhanden,existant,esistente,موجود,,existente,,существующий
exit,exit,salir,saída,beenden,quitter,esci,خروج,,saída,,выход
expand,expand,expandir,expandir,erweitern,développer,espandi,وسِّع,,expandir,,расширять
expansion,expansion,expansión,expansão,Erweiterung,expansion,espansione,توسيع,,expansão,,расширение
explore,explore,explorar,explorar,durchsuchen,explorer,esplora,تصفح - استطلع,,explorar,,проводить исследования
export,export,exportar,exportar,Exportieren,exportation,esporta,صَدّر,,exportar,,экспорт
expression,expression,expresión,expressão,Ausdruck,expression,espressione,تعبير,,expressão,,выражение
extend,extend,extender,,erweitern,étendre,estendi,مدد,,,,простираться
extensible,extensible,extensible,extensível,erweiterbar,extensible,allungabile,قابل للتمديد,,extensível,,растяжимый
extension,extension,extensión,extensão,Erweiterung,extension,estensione,امتداد,,extensão,,расширение
external,external,externo,externo,extern,externe,esterno,خارجي,,externo,,внешний
extra,extra,extra,,Extra,supplémentaire,extra,إضافي,,,,дополнительный
extract,extract,extraer,extrair,entpacken,extrait,estrarre,استخراج - فك,,extrair,,экстракт
fail,fail,fallar,falhar,fehlgeschlagen,échouer,fallire,فشل,,falhar,,потерпеть поражение
fatal,fatal,fatal,fatal,fatal,fatal,irreversibile,فادح,,fatal,,фатальный
fault,fault,defecto,falha,Fehler,faute,guasto,خطأ,,falha,,придираться
favorite,favorite,favorito,favorito,Favorit,préféré,preferito,مفضل,,favorito,,любимый
feature,feature,característica,recurso,Funktion,fonctionnalité,caratteristica,ميزة,,recurso,,особенность
feed,feed,alimentar,fonte,Feed,alimentation,feed,لقِّم,,fonte,,кормить
feedback,feedback,retroalimentación,comentários,Resonanz,retour d'information,feedback,رد فعل,,comentários,,Обратная связь
fetch,fetch,traer,obter,holen,apporter,stratagemma,إجلب,,obter,,получать
field,field,campo,campo,Feld,champ,campo,حقل,,campo,,поле
figure,figure,cifra,figura,Abbildung,figure,immaginare,شكل,,figura,,фигура
file,file,archivo,arquivo,Datei,fichier,file,ملف,,arquivo,,файл
fileUpload,file upload,Carga de archivo,Cerregue archivo,Datei Hochladen,téléchargement de fichiers,,,,,,файл загружен
fill,fill,rellenar,preencher,ausfüllen,remplir,riempire,إملأ,,preencher,,заполнить
filter,filter,filtro,filtro,Filter,filtre,filtro,مرشح,,filtro,,фильтр
find,find,encontrar,localizar,suchen,trouver,trovare,اوجد,,localizar,,находить
firewall,firewall,firewall,firewall,Firewall,pare-feu,firewall,جدار ناري,,firewall,,брандмауэр
firmware,firmware,firmware,firmware,Firmware,firmware,firmware,برمجيات مضمنة,,firmware,,прошивка
fit,fit,caber,ajustar,geeignet,en forme,adattare,مناسب,,ajustar,,поместиться
fix,fix,fijar,corrigir,(Fehler) beheben,réparer,correggere,أصلح,,corrigir,,фиксировать
flag,flag,bandera,sinalizador,Markierung,drapeau,bandiera,علم,,sinalizador,,флаг
flash,flash,flash,flash,Blitz,flash,lampeggiare,وميض,,flash,,вспышка
flat,flat,plano,simples,flach,appartement,piatto,مسطح,,simples,,плоский
flip,flip,voltear,inverter,umdrehen,feuilles mobiles,lanciare,إقلب,,inverter,,кувырок
floatverb,float (verb),flotar,flutuar (verbo),gleiten (Verb),floatverb,galleggiare (verbo),يطفو (فعل),,flutuar (verbo),,floatverb
flood,flood,inundar,inundar,überschwemmen,inonder,allagare,طوفان,,inundar,,наводнение
floppy,floppy,floppy,disquete,Diskette,souple,floppy,مرن,,disquete,,дискета
folder,folder,carpeta,pasta,Ordner,dossier,cartella,مجلد,,pasta,,папка
font,font,tipo de letra,fonte,Schriftart,Police de caractère,carattere,خط,,fonte,,шрифт
footer,footer,pie de página,rodapé,Fußzeile,bas de page,piè di pagina,حاشية سفلية,,rodapé,,нижний колонтитул
form,form,formulario,formulário,Formular,forme,modulo,نموذج,,formulário,,форма
formatnoun,format (noun),formato,formato (substantivo),Format (Nomen),formatnoun,formato,هيئة - تهيئة (اسم),,formato (substantivo),,formatnoun
formatverb,format (verb),formatear,formatar (verbo),formatieren (Verb),formatverb,formattare,هيء (فعل),,formatar (verbo),,formatverb
formatted,formatted,formateado,formatado,formatiert,mis en forme,formattato,مهيء,,formatado,,отформатированные
formula,formula,formula,fórmula,Formel,formule,formula,معادلة,,fórmula,,формула
forum,forum,foro,,Forum,forum,forum,منتدى,,,,Форум
fragment,fragment,fragmento,fragmento,Bruchstück,fragment,frammento,جزء - كسرة,,fragmento,,фрагмент
frame,frame,marco,quadro,Einzelbild,Cadre,frame,إطار,,quadro,,Рамка
frameset,frame set,conjunto de marcos,,Frameset,frameset,,طقم إطارات,,,,фреймы
framework,framework,entorno de trabajo,,Framework,cadre,framework,هيكل,,,,фреймворк
freesoftware,free software,software libre,software livre,freie Software,logiciel gratuit,software libero,برمجيات حرة,,software livre,,бесплатно программное обеспечение
freeze,freeze,congelar,congelar,einfrieren,gel,congelare,جمِّد,,congelar,,замерзать
frequency,frequency,frecuencia,frequência,Frequenz,la fréquence,frequenza,تردد,,frequência,,частота
frontend,front end,primario,interface,Frontend,l'extrémité avant,interfaccia,نهاية أمامية,,interface,,внешний интерфейс
function,function,función,função,Funktion,une fonction,funzione,دالة - وظيفة,,função,,функция
gallery,gallery,galería,galeria,Galerie,Galerie,galleria,معرض,,galeria,,галерея
game,game,juego,jogo,Spiel,Jeu,gioco,لعبة,,jogo,,игра
gateway,gateway,entrada,gateway,Gateway,passerelle,gateway,بوابة,,gateway,,шлюз
generate,generate,generar,,erzeugen,produire,genera,ولِّد,,,,генерировать
generation,generation,generación,geração,Generation,génération,generazione,توليد - جيل,,geração,,поколение
generator,generator,generador,gerador,Generator,Générateur,generatore,مولد,,gerador,,генератор
generic,generic,genérico,genérico,generisch,générique,generico,عام,,genérico,,общий
geometric,geometric,geométrico,geométrico,geometrisch,géométrique,geometrico,هندسي,,geométrico,,геометрический
geometry,geometry,geometría,geometria,Geometrie,géométrie,geometria,هندسة,,geometria,,геометрия
grab,grab,coger,captar,greifen,saisir,presa,قبض,,captar,,грейфер
gradient,gradient,gradual,gradiente,Steigung,pente,sfumatura,تدرج,,gradiente,,градиент
grain,grain,grano,granulação,Körnung,grain,grano,تحبب,,granulação,,зерно
graph,graph,gráfico,gráfico,Schaubild,graphique,grafo,رسم بياني,,gráfico,,график
graphic,graphic,gráfico,gráfico,Grafik,graphique,grafico,بياني,,gráfico,,графический
graphical,graphical,gráfico,gráfica,grafisch,graphique,grafico,رسومي,,gráfica,,графический
graphics,graphics,gráficos,gráficos,Grafik,graphique,grafica,رسوميات,,gráficos,,графика
grayscale,gray-scale,escala de grises,escala de cinza,Graustufen,en niveaux de gris,scala di grigi,تدرج رمادي,,escala de cinza,,полутоновой
grid,grid,cuadrícula,grade,Gitter,la grille,reticolo,شبكة,,grade,,сетка
group,group,grupo,grupo,Gruppe,groupe,gruppo,مجموعة,,grupo,,группа
guess,guess,suponer,,raten,deviner,supporre,خمن,,,,Угадай
guest,guest,invitado,convidado,Gast,client,ospite,ضيف,,convidado,,гость
handlenoun,handle (noun),asa,manejo (substantivo),Griff (Nomen),handlenoun,gestore (nome),تعامل (اسم),,manejo (substantivo),,handlenoun
handleverb,handle (verb),manejar,manejar (verbo),handhaben (Verb),handleverb,gestire (verbo),عامل (فعل),,manejar (verbo),,handleverb
handler,handler,manipulador,manipulador,Behandlungsroutine,maître,gestore,مداول,,manipulador,,обработчик
hardware,hardware,hardware,hardware,Hardware,Matériel,hardware,عتاد,,hardware,,аппаратные средства
hash,hash,hash,hash,Hash,hacher,hash,جزء - تجزيء,,hash,,гашиш
head,head,cabeza,cabeçalho,Kopf,tête,testa,رأس - مقدمة,,cabeçalho,,голова
header,header,cabecera,cabeçalho,Kopfzeile,entête,header,ترويسة - رأس الصفحة,,cabeçalho,,заголовок
height,height,altura,altura,Höhe,la taille,altezza,إرتفاع,,altura,,рост
hello,hello,hola,olá,Hallo,Bonjour,,,,olá,,Привет
help,help,ayuda,ajuda,Hilfe,Aidez-moi,aiuto,مساعدة,,ajuda,,Помогите
hide,hide,ocultar,ocultar,ausblenden,cacher,nascondere,إخفاء,,ocultar,,скрывать
hierarchy,hierarchy,jerarquía,hierarquia,Hierarchie,hiérarchie,gerarchia,هرمي - تسلسل هرمي,,hierarquia,,иерархия
highlight,high light,destacar,,hervorheben,mettre en surbrillance,evidenziare,إبراز - إبانة,,,,основной момент
history,history,historia,histórico,Verlauf,historique,cronologia,تاريخ,,histórico,,история
host,host,host,máquina,Rechner,hôte,host,مضيف,,máquina,,хозяин
hostname,hostname,nombre del sistema,,Rechnername,nom d'hôte,nome dell'host,أسم المضيف,,,,имя хоста
hyperlink,hyperlink,hipervínculo,link,Hyperlink,hyperlien,collegamento ipertestuale,وصلة فائقة - وصلة شبكية,,link,,гиперссылка
hypertext,hypertext,hipertexto,hipertexto,Hypertext,hypertexte,ipertesto,نص فائق - نص شبكي,,hipertexto,,гипертекста
icon,icon,icono,ícone,Symbol,icône,icona,أيقونة,,ícone,,значок
identify,identify,identificar,,Identifizieren,identifier,identificare,عرِّف,,,,идентифицировать
idle,idle,inactivo,ocioso,inaktiv,tourner au ralenti,inattivo,خامل - ساكن,,ocioso,,вхолостую
ignore,ignore,ignorar,ignorar,Ignorieren,ignorer,ignora,تجاهل,,ignorar,,игнорировать
image,image,imagen,imagem,Bild,image,immagine,صورة,,imagem,,образ
implement,implement,implementar,,implementieren,mettre en place,implementare,نفِّذ,,,,воплощать в жизнь
import,import,importar,importar,importieren,importation,importare,اسّتورد,,importar,,Импортировать
inactive,inactive,inactivo,inativo,inaktiv,inactif,inattivo,خامل - غير نشط,,inativo,,неактивный
inbox,inbox,bandeja de entrada,caixa de entrada,Posteingang,boîte de réception,in arrivo,صندوق الوارد,,caixa de entrada,,входящие
inch,inch,pulgada,polegada,Zoll,pouce,pollice,بوصة,,polegada,,дюймовый
include,include,incluir,incluir,einbinden,comprendre,includi,ضمِّن,,incluir,,включают
incoming,incoming,entrante,recebida,eingehend,nouveau,in entrata,وارد,,recebida,,входящий
incompatible,incompatible,incompatible,incompatível,inkompatibel,incompatible,incompatibile,غير متوافق,,incompatível,,несовместимый
increase,increase,aumentar,aumentar,erhöhen,augmenter,aumenta,إرفع - زد,,aumentar,,увеличение
increment,increment,incrementar,incremento,erhöhen,incrément,aumento,علاوة - زيادة,,incremento,,приращение
indent,indent,sangrar,recuo,einrücken,tiret,indenta,مسافة بادئة,,recuo,,отступ
index,index,índice,índice,Index,indice,indice,فهرس,,índice,,индекс
indice,indice,índice,,indisch,indice,,فهرس - مفتاح,,,,Indice
infect,infect,infectar,,anstecken,infecter,infettare,يعدي - ينقل عدوى,,,,заражать
infinite,infinite,infinito,infinito,unendlich,infini,infinito,لا متناهي,,infinito,,бесконечный
information,information,información,informação,Information,information,informazioni,معلومات,,informação,,Информация
infrared,infrared,infrarrojo,infravermelho,Infrarot,infrarouge,infrarosso,لآشعة دون الحمراء - الآشعة تحت الحمراء,,infravermelho,,инфракрасный
initial,initial,inicial,inicial,Initialen,initiale,iniziale,أولي - ابتدائي,,inicial,,начальная
initialize,initialize,inicializar,inicializar,Initialisieren,initialiser,inizializza,جهز - هيء,,inicializar,,инициализировать
input,input,entrada,entrada,Eingabe,contribution,input,مُدخل,,entrada,,вход
insert,insert,insertar,inserir,einfügen,insérer,inserisci,أدرج - إدراج,,inserir,,вставить
install,install,instalar,instalar,installieren,installer,installare,ثبِّت,,instalar,,устанавливать
installer,installer,instalador,instalador,Installationsprogramm,programme d'installation,programma d'installazione,مثبت,,instalador,,монтажник
instance,instance,ejemplo,instância,Beispiel,exemple,istanza,مرة,,instância,,пример
instruction,instruction,instrucción,instrução,Instruktion,instruction,istruzione,تدريب - تعليم,,instrução,,инструкция
integer,integer,número entero,inteiro,Ganzzahl,nombre entier,intero,عدد صحيح,,inteiro,,целое число
integral,integral,integral,integral,Integral,intégral,integrale,مدمج - متكامل,,integral,,интеграл
integrate,integrate,integrar,integrar,integrieren,intégrer,integrare,إدمج - وحِّد,,integrar,,интегрировать
integration,integration,integración,integração,Integration,l'intégration,integrazione,إندماج - دمج,,integração,,интеграция
integrity,integrity,integridad,integridade,Integrität,intégrité,integrità,تكامل,,integridade,,целостность
intensity,intensity,intensidad,intensidade,Intensität,intensité,intensità,شدة - كثافة,,intensidade,,интенсивность
interactivity,interactivity,interactividad,interatividade,Interaktivität,interactivité,interattività,تفاعلية,,interatividade,,интерактивность
interface,interface,interfaz,interface,Oberfläche,interface,interfaccia,واجهة,,interface,,интерфейс
internal,internal,interno,interno,intern,interne,interno,داخلي - باطني,,interno,,внутренний
internet,internet,internet,internet,Internet,l'Internet,internet,إنترنت,,internet,,интернет
interrupt,interrupt,interrumpir,interrupção,Interrupt,interrompre,interrupt,انقطاع,,interrupção,,прерывание
invalid,invalid,inválido,inválido,ungültig,non valide,non valido,غير صحيح - لاغي,,inválido,,недействительным
inverse,inverse,inverso,inverso,umgekehrt,inverse,inverso,إعكس,,inverso,,обратный
invert,invert,invertir,inverter,umkehren,inverser,inverti,قلب - عكس,,inverter,,инвертировать
invoke,invoke,invocar,invocar,aufrufen,invoquer,invoca,استدعي - نشِّط,,invocar,,взывать
italic,italic,itálica,itálico,kursiv,italique,corsivo,مائل,,itálico,,курсивный
item,item,ítem,item,Element,article,voce,عنصر,,item,,вещь
iteration,iteration,iteración,iteração,Wiederholung,itération,iterazione,تكرار,,iteração,,итерация
jag,jag,juerga,,Besäufnis,pointe,,شق,,,,выщерблять
jam,jam,mermelada,,Stau,confiture,bloccato,زحام - تكدس,,,,варенье
job,job,trabajo,trabalho,Arbeit,emploi,attività,مهمة,,trabalho,,работа
join,join,unir,entrar,beitreten,joindre,partecipare,انضمام,,entrar,,присоединиться
joystick,joy stick,joy stick,,Joystick,manette,joystick,عصا الآلعاب,,,,джойстик
jump,jump,saltar,pular,springen,saut,salta,إقفز - تجاوز,,pular,,Прыгать
junk,junk,porqueria,lixo,Abfall,déchet,spazzatura,قمامة - غير هام,,lixo,,барахло
justify,justify,justificar,justificar,Blocksatz,justifier,giustifica,ضبط - تسوية,,justificar,,обосновывать
keep,keep,mantener,manter,behalten,garder,mantieni,اترك,,manter,,держать
kernel,kernel,núcleo,kernel,Kernel,noyau,kernel,نواة,,kernel,,ядро
key,key,tecla,chave,Taste,clé,tasto,مفتاح,,chave,,ключ
keystroke,key stroke,pulsación de tecla,pressionar tecla,Tastenanschlag,combinaison de touches,pressione del tasto,ضغطة زر- كبسة زر,,pressionar tecla,,нажатие клавиши
keyword,key word,palabra clave,palavra chave,Stichwort,mot-clé,parola chiave,كلمة أساسية - كلمة رئيسية,,palavra chave,,ключевое слово
keyboard,keyboard,teclado,teclado,Tastatur,clavier,tastiera,لوحة المفاتيح,,teclado,,клавиатура
label,label,etiqueta,rótulo,Beschriftung,étiquette,etichetta,عنوان - ملصق,,rótulo,,этикетка
landscape,landscape,paisaje,paisagem,Querformat,paysage,orizzontale,عرضي - أفقي,,paisagem,,пейзаж
language,language,idioma,língua,Sprache,la langue,lingua,لغة,,idioma,,язык
laptop,laptop,ordenador portátil,laptop,Laptop,portable,laptop,حاسوب محمول - كمبيوتر محمول,,laptop,,портативный компьютер
launch,launch,lanzamiento,iniciar,starten,lancement,lancia,نفِّذ - شغِّل,,iniciar,,запуск
layer,layer,capa,camada,Schicht,couche,layer,طبقة,,camada,,слой
layout,layout,diseño,,Entwurf,disposition,disposizione,مظهر - تخطيط,,,,расположение
length,length,longitud,duração,Länge,longueur,lunghezza,طول,,duração,,длина
license,license,licencia,licença,Lizenz,Licence,licenza,رخصة - ترخيص,,licença,,лицензия
line,line,línea,linha,Linie,ligne,linea,سطر - خط,,linha,,линия
link,link,enlace,link,Verknüpfung,lien,collegamento,رابط - وصلة,,link,,ссылка на сайт
list,list,lista,listar,Liste,liste,elenco,قائمة - لائحة,,listar,,список
load,load,cargar,carregar,laden,charger,caricare,حمِّل,,carregar,,нагрузка
local,local,local,local,lokal,local,locale,محلي,,local,,местный
localization,localization,localización,localização,Lokalisierung,localisation,localizzazione,توطين - تطويع,,localização,,локализация
location,location,ubicación,localização,Ort,emplacement,posizione,موقع,,localização,,место нахождения
log,log,registrar,,Protokoll,journal,log,سِجل,,,,журнал
lookup,lookup,búsqueda,procurar,nachschlagen,Chercher,ricerca,ابحث,,procurar,,уважать
lowercase,lower-case,letra minúscula,minúsculas,Kleinschreibung,minuscule,minuscolo,أحرف صغيرة,,minúsculas,,в нижнем регистре
machine,machine,máquina,computador,Maschine,machine,macchina,آلة - ماكينة,,computador,,машина
mainboard,main board,tablero principal,placa mãe,Mainboard,mainboard,scheda madre,لوحة رئيسية,,placa mãe,,материнская плата
maintainer,maintainer,mantener,,Betreuer,mainteneur,manutentore,مصين,,,,сопровождающий
maintenance,maintenance,mantenimiento,manutenção,Wartung,entretien,manutenzione,صيانة,,manutenção,,поддержание
manage,manage,gestionar,gerenciar,verwalten,gérer,gestire,در - أدِر,,gerenciar,,управлять
management,management,gestión,gerenciamento,Verwaltung,la gestion,gestione,إدارة,,gerenciamento,,управление
manager,manager,gestor,gerenciador,Manager,directeur,gestore,مدير,,gerenciador,,менеджер
manual,manual,manual,manual,Handbuch,Manuel,manuale,دليل - يدوي,,manual,,руководство
margin,margin,margen,margem,Rand,marge,margine,هامش,,margem,,поле
mark,mark,marcar,marca,markieren,marque,segno,علامة,,marca,,отметка
master,master,maestro,mestre,Meister,maîtriser,maestro,رئيسي - رئيس,,mestre,,мастер
match,match,igualar,corresponder,übereinstimmen,rencontre,corrispondere,طابق,,corresponder,,матч
maximize,maximize,maximizar,maximizar,maximieren,maximiser,massimizza,كبِّر,,maximizar,,максимизировать
memory,memory,memoria,memória,Speicher,Mémoire,memoria,ذاكرة,,memória,,объем памяти
menu,menu,menú,menu,Menü,menu,menù,قائمة,,menu,,меню
merge,merge,fusionar,mesclar,zusammenführen,fusionner,fusione,إدمج,,mesclar,,сливаться
message,message,mensaje,mensagem,Nachricht,message,messaggio,رسالة,,mensagem,,сообщение
method,method,método,método,Methode,méthode,metodo,طريقة,,método,,метод
minimize,minimize,minimizar,minimizar,Minimieren,minimiser,minimizzare,صغِّر,,minimizar,,минимизировать
mode,mode,modo,modo,Modus,mode,modalità,نمط - وضع,,modo,,Режим
modem,modem,módem,modem,Modem,modem,modem,موديم,,modem,,модем
moderator,moderator,moderador,moderador,Moderator,modérateur,moderatore,مشرف,,moderador,,Модератор
modify,modify,modificar,modificar,ändern,modifier,modifica,عدّل,,modificar,,модифицировать
module,module,módulo,módulo,Modul,module,modulo,وحدة,,módulo,,модуль
monitor,monitor,monitor,monitor,Monitor,moniteur,schermo,مراقب - مرقاب,,monitor,,монитор
mosaic,mosaic,mosaico,mosáico,Mosaik,mosaïque,mosaico,فسيفساء,,mosáico,,мозаика
motion,motion,señal,animação,Bewegung,mouvement,movimento,حركة,,animação,,движение
mouse,mouse,ratón,mouse,Maus,Souris,mouse,فأرة,,mouse,,мышь
move,move,mover,mover,bewegen,bouge toi,movimento,انقل,,mover,,переехать
multimedia,multimedia,multimedia,multimídia,Multimedia,multimédia,multimedia,وسائط متعددة,,multimídia,,мультимедиа
multitasking,multitasking,multitarea,multitarefa,Multitasking,multi-tâches,multitasking,تعدد المهام - تعدد المهمات,,multitarefa,,многозадачность
name,name,nombre,nome,Name,nom,nome,اسم,,nome,,название
named,named,nombrado,nomeado,benannt,nommé,chiamato,المسمى,,nomeado,,названный
navigation,navigation,navegación,navegação,Navigation,navigation,navigazione,تصفح,,navegação,,навигация
navigator,navigator,navegador,navegador,Navigator,navigateur,navigatore,ملاح,,navegador,,навигатор
network,network,red,rede,Netzwerk,réseau,rete,شبكة,,rede,,сеть
newsgroup,news group,grupo de noticias,grupo de notícia,Newsgroup,newsgroup,newsgroup,مجموعة أخبار,,grupo de notícia,,группа новостей
next,next,siguiente,próximo,weiter,suivant,prossimo,التالي - تالي,,próximo,,следующий
nickname,nick name,alias,apelido,Spitzname,surnom,nick,اسم مستعار,,apelido,,прозвище
no,no,no,não,Nein,non,,لا,,não,,нет
node,node,nodo,nó,(Netzwerk-) Knoten,nœud,nodo,عقدة - فرع,,nó,,узел
notation,notation,anotación,notação,Notation,notation,notazione,تدوين,,notação,,обозначение
note,note,nota,observação,Notiz,Remarque,nota,ملاحظة,,observação,,нота
notebook,notebook,ordenador portátil,bloco de anotações,Notebook,carnet,blocco note,حاسوب محمول,,bloco de anotações,,ноутбук
